"162","New Tel Mobility (Aliant)",NULL,"39"
"163","Rogers Wireless",NULL,"39"
"164","SaskTel",NULL,"39"
"165","TBay",NULL,"39"
"166","Telus",NULL,"39"
"167","Videotron",NULL,"39"
"168","WIND Mobile",NULL,"39"
"169","CVMOVEL",NULL,"40"
"170","T+",NULL,"40"
"171","Digicel",NULL,"41"
"172","LIME",NULL,"41"
"173","CTP",NULL,"42"
"174","Nationlink",NULL,"42"
"175","Orange",NULL,"42"
"176","TC",NULL,"42"
"177","Airtel",NULL,"43"
"178","Salam",NULL,"43"
"179","TAWALI",NULL,"43"
"180","Tchad Mobile",NULL,"43"
"181","TIGO - Millicom",NULL,"43"
"182","Claro",NULL,"44"
"183","entel",NULL,"44"
"184","movistar",NULL,"44"
"185","Nextel",NULL,"44"
"186","Virgin Mobile",NULL,"44"
"187","VTR Movil",NULL,"44"
"188","Will",NULL,"44"
"189","China Mobile","CMCC","45"
"190","China Telecom",NULL,"45"
"191","China Tietong",NULL,"45"
"192","China Unicom","CNUNICOM","45"
"193","Claro",NULL,"48"
"194","Colombia Telecomunicaciones S.A.",NULL,"48"
"195","Edatel",NULL,"48"
"196","movistar",NULL,"48"
"197","Tigo",NULL,"48"
"198","HURI - SNPT",NULL,"49"
"199","Telecom Cook",NULL,"50"
"200","Claro",NULL,"51"
"201","fullmovil",NULL,"51"
"202","Kolbi ICE",NULL,"51"
"203","movistar",NULL,"51"
"204","T-Mobile",NULL,"52"
"205","Tele2",NULL,"52"
"206","Vip",NULL,"52"
"207","CUBACEL",NULL,"53"
"208","Cytamobile-Vodafone",NULL,"54"
"209","MTN",NULL,"54"
"210","PrimeTel",NULL,"54"
"211","O2",NULL,"55"
"212","OSNO TELECOMUNICATION, s.r.o.",NULL,"55"
"213","Sprava zeleznicni dopravni cesty, s.o.",NULL,"55"
"214","T-Mobile",NULL,"55"
"215","TRAVEL TELEKOMMUNIKATION, s.r.o.",NULL,"55"
"216","U:fon",NULL,"55"
"217","Vodafone",NULL,"55"
"218","CCT",NULL,"56"
"219","Cellco",NULL,"56"
"220","Libertis Telecom",NULL,"56"
"221","SAIT Telecom",NULL,"56"
"222","Supercell",NULL,"56"
"223","Vodacom",NULL,"56"
"224","Zain",NULL,"56"
"225","ApS KBUS",NULL,"57"
"226","Barablu Mobile Ltd.",NULL,"57"
"227","Dansk Beredskabskommunikation A/S",NULL,"57"
"228","End2End",NULL,"57"
"229","Ericsson Danmark A/S",NULL,"57"
"230","Hi3G Denmark ApS",NULL,"57"
"231","Lycamobile Denmark Ltd",NULL,"57"
"232","Nordisk Mobiltelefon",NULL,"57"
"233","TDC",NULL,"57"
"234","Telenor",NULL,"57"
"235","Telia",NULL,"57"
"236","Evatis",NULL,"58"
"237","Cable & Wireless",NULL,"59"
"238","Digicel",NULL,"59"
"239","Claro",NULL,"60"
"240","Orange",NULL,"60"
"241","Tricom",NULL,"60"
"242","Viva",NULL,"60"
"243","Claro",NULL,"61"
"244","CNT Mobile",NULL,"61"
"245","Movistar",NULL,"61"
"246","Etisalat",NULL,"62"
"247","Mobinil",NULL,"62"
"248","Vodafone",NULL,"62"
"249","Claro",NULL,"63"
"250","CTE Telecom Personal",NULL,"63"
"251","digicel",NULL,"63"
"252","movistar",NULL,"63"
"253","Tigo",NULL,"63"
"254","Hits GQ",NULL,"64"
"255","Orange GQ",NULL,"64"
"256","Eritel",NULL,"65"
"257","AS Bravocom Mobiil",NULL,"66"
"258","Elisa",NULL,"66"
"259","EMT",NULL,"66"
"260","OY Top Connect",NULL,"66"
"261","Progroup Holding",NULL,"66"
"262","Tele 2",NULL,"66"
"263","ETH-MTN",NULL,"67"
"264","Faroese Telecom",NULL,"69"
"265","Vodafone",NULL,"69"
"266","Digicel",NULL,"70"
"267","Vodafone",NULL,"70"
"268","AINA",NULL,"71"
"269","AMT",NULL,"71"
"270","DNA",NULL,"71"
"271","Elisa",NULL,"71"
"272","Finnet Group / NOKIA OYJ",NULL,"71"
"273","Nokia",NULL,"71"
"274","SAMK",NULL,"71"
"275","Saunalahti",NULL,"71"
"276","Scnl Truphone",NULL,"71"
"277","Sonera",NULL,"71"
"278","TDC",NULL,"71"
"279","VIRVE",NULL,"71"
"280","Bouygues",NULL,"72"
"281","Free Mobile",NULL,"72"
"282","Globalstar Europe",NULL,"72"
"283","Orange",NULL,"72"
"284","RFF",NULL,"72"
"285","SFR",NULL,"72"
"286","Sisteer (MVNE)",NULL,"72"
"287","Transatel Mobile",NULL,"72"
"288","Virgin Mobile (MVNO)",NULL,"72"
"289","Vini",NULL,"73"
"290","Airtel",NULL,"74"
"291","Azur",NULL,"74"
"292","Libertis",NULL,"74"
"293","Moov",NULL,"74"
"294","Africel",NULL,"75"
"295","Comium",NULL,"75"
"296","Gamcel",NULL,"75"
"297","QCell",NULL,"75"
"298","Beeline",NULL,"77"
"299","Geocell",NULL,"77"
"300","MagtiCom",NULL,"77"
"301","Silknet",NULL,"77"
"302","27C3",NULL,"78"
"303","Airdata",NULL,"78"
"304","Arcor AG & Co",NULL,"78"
"305","DB Telematik",NULL,"78"
"306","Debitel",NULL,"78"
"307","Dolphin Telecom",NULL,"78"
"308","E-Plus",NULL,"78"
"309","Group 3G UMTS",NULL,"78"
"310","LYCA",NULL,"78"
"311","Mobilcom Multimedia",NULL,"78"
"312","Nash Technologies",NULL,"78"
"313","O2",NULL,"78"
"314","OnePhone",NULL,"78"
"315","Siemens AG",NULL,"78"
"316","T-Mobile",NULL,"78"
"317","Telogic ex. Vistream",NULL,"78"
"318","Vodafone",NULL,"78"
"319","Airtel",NULL,"79"
"320","Expresso",NULL,"79"
"321","Globacom",NULL,"79"
"322","MTN",NULL,"79"
"323","tiGO",NULL,"79"
"324","Vodafone",NULL,"79"
"325","CTS Mobile",NULL,"80"
"326","GibTel",NULL,"80"
"327","Shine",NULL,"80"
"328","Cosmote",NULL,"81"
"329","Vodafone",NULL,"81"
"330","Wind",NULL,"81"
"331","TELE Greenland A/S",NULL,"82"
"332","Cable & Wireless",NULL,"83"
"333","Digicel",NULL,"83"
"334","Claro",NULL,"85"
"335","movistar",NULL,"85"
"336","Tigo",NULL,"85"
"337","Cellcom",NULL,"86"
"338","MTN",NULL,"86"
"339","Orange S.A.",NULL,"86"
"340","Sotelgui",NULL,"86"
"341","Telecel Guinee",NULL,"86"
"342","Areeba",NULL,"87"
"343","Orange",NULL,"87"
"344","Digicel",NULL,"88"
"345","GT&T Cellink Plus",NULL,"88"
"346","Digicel",NULL,"89"
"347","Natcom",NULL,"89"
"348","Voila",NULL,"89"
"349","Claro",NULL,"91"
"350","DIGICEL",NULL,"91"
"351","Hondutel",NULL,"91"
"352","Tigo",NULL,"91"
"353","1O1O / One2Free / New World Mobility",NULL,"92"
"354","China Motion Telecom",NULL,"92"
"355","China Unicom (Hong Kong) Limited",NULL,"92"
"356","China-Hong Kong Telecom",NULL,"92"
"357","CITIC Telecom 1616",NULL,"92"
"358","CMCC HK",NULL,"92"
"359","CSL Limited",NULL,"92"
"360","Hutchison Telecom",NULL,"92"
"361","New World Mobility",NULL,"92"
"362","PCCW Mobile",NULL,"92"
"363","SmarTone Mobile Communications Limited",NULL,"92"
"364","SmarTone Vodafone",NULL,"92"
"365","Trident Telecom",NULL,"92"
"366","BLUE Mobile",NULL,"93"
"367","T-Mobile",NULL,"93"
"368","Telenor",NULL,"93"
"369","Tesco Mobile",NULL,"93"
"370","Vodafone",NULL,"93"
"371","IceCell",NULL,"94"
"372","Nova",NULL,"94"
"373","Null niu ehf",NULL,"94"
"374","On-waves",NULL,"94"
"375","Siminn",NULL,"94"
"376","Tal",NULL,"94"
"377","Viking",NULL,"94"
"378","Vodafone",NULL,"94"
"379","AIRCEL",NULL,"95"
"380","AirTel",NULL,"95"
"381","CellOne",NULL,"95"
"382","Dishnet Wireless",NULL,"95"
"383","DOLPHIN",NULL,"95"
"384","Etisalat DB(cheers)",NULL,"95"
"385","IDEA",NULL,"95"
"386","Idea Cellular Ltd",NULL,"95"
"387","Loop Mobile",NULL,"95"
"388","Reliance",NULL,"95"
"389","Reliance GSM",NULL,"95"
"390","Reliance Smart GSM",NULL,"95"
"391","S Tel",NULL,"95"
"392","TATA Teleservice",NULL,"95"
"393","Uninor",NULL,"95"
"394","Videocon Datacom",NULL,"95"
"395","Vodafone IN",NULL,"95"
"396","AXIS",NULL,"96"
"397","Ceria",NULL,"96"
"398","Esia",NULL,"96"
"399","Fren/Hepi",NULL,"96"
"400","IM3",NULL,"96"
"401","INDOSAT",NULL,"96"
"402","PSN",NULL,"96"
"403","PT Hutchison CP Telecommunications",NULL,"96"
"404","SMART",NULL,"96"
"405","StarOne",NULL,"96"
"406","TelkomFlexi",NULL,"96"
"407","TELKOMMobile",NULL,"96"
"408","Telkomsel",NULL,"96"
"409","XL",NULL,"96"
"410","IR-MCI",NULL,"97"
"411","Irancell",NULL,"97"
"412","Iraphone",NULL,"97"
"413","MTCE",NULL,"97"
"414","Taliya",NULL,"97"
"415","TCI",NULL,"97"
"416","TKC",NULL,"97"
"417","Asia Cell",NULL,"98"
"418","IRAQNA",NULL,"98"
"419","Itisaluna",NULL,"98"
"420","Korek",NULL,"98"
"421","Mobitel",NULL,"98"
"422","Omnnea",NULL,"98"
"423","SanaTel",NULL,"98"
"424","Zain",NULL,"98"
"425","Zain(MTC Atheer)",NULL,"98"
"426","Access Telecom",NULL,"99"
"427","Clever Communications",NULL,"99"
"428","Eircom",NULL,"99"
"429","Hutchison 3G Ireland limited",NULL,"99"
"430","Lycamobile",NULL,"99"
"431","Meteor",NULL,"99"
"432","O2",NULL,"99"
"433","Tesco Mobile",NULL,"99"
"434","Vodafone",NULL,"99"
"435","Cellcom",NULL,"101"
"436","Golan Telecom",NULL,"101"
"437","Home Cellular",NULL,"101"
"438","Hot Mobile",NULL,"101"
"439","Jawwal",NULL,"101"
"440","Orange",NULL,"101"
"441","Pelephone",NULL,"101"
"442","Rami Levy",NULL,"101"
"443","Wataniya",NULL,"101"
"444","Youphone",NULL,"101"
"445","3 Italia",NULL,"102"
"446","Blu",NULL,"102"
"447","Elsacom",NULL,"102"
"448","Intermatica",NULL,"102"
"449","IPSE 2000",NULL,"102"
"450","Lyca Italy",NULL,"102"
"451","Noverca",NULL,"102"
"452","RFI",NULL,"102"
"453","Telespazio",NULL,"102"
"454","TIM",NULL,"102"
"455","Vodafone",NULL,"102"
"456","Wind",NULL,"102"
"457","Cora de Comstar",NULL,"103"
"458","KoZ",NULL,"103"
"459","Moov",NULL,"103"
"460","MTN",NULL,"103"
"461","Orange",NULL,"103"
"462","ORICEL",NULL,"103"
"463","Digicel",NULL,"104"
"464","Digicel Bermuda",NULL,"104"
"465","LIME",NULL,"104"
"466","au",NULL,"105"
"467","eMobile",NULL,"105"
"468","KDDI",NULL,"105"
"469","NTT docomo",NULL,"105"
"470","Okinawa Cellular Telephone",NULL,"105"
"471","SoftBank",NULL,"105"
"472","TU-KA",NULL,"105"
"473","Orange",NULL,"107"
"474","Umniah",NULL,"107"
"475","XPress Telecom",NULL,"107"
"476","zain JO",NULL,"107"
"477","Beeline",NULL,"108"
"478","Dalacom",NULL,"108"
"479","Dontelecom",NULL,"108"
"480","Kazakhtelecom",NULL,"108"
"481","Kcell",NULL,"108"
"482","Tele2.kz",NULL,"108"
"483","Airtel",NULL,"109"
"484","Orange Kenya",NULL,"109"
"485","Safaricom",NULL,"109"
